Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
BUENOS AIRES,LA MATANZA,378.0,157034,333.0,225872,335.0,181212
BUENOS AIRES,LA PLATA,274.0,52075,199.0,77998,206.0,67326
BUENOS AIRES,LOMAS DE ZAMORA,201.0,50825,178.0,76967,191.0,65257
BUENOS AIRES,GENERAL PUEYRREDON,229.0,41427,169.0,62565,170.0,57730
BUENOS AIRES,QUILMES,203.0,47353,146.0,70881,153.0,60085
BUENOS AIRES,ALMIRANTE BROWN,156.0,4089,137.0,5089,145.0,4604
BUENOS AIRES,ALMIRANTE BROWN,156.0,43762,137.0,67913,145.0,58227
BUENOS AIRES,MORENO,127.0,4608,134.0,5635,134.0,5178
BUENOS AIRES,MORENO,127.0,50791,134.0,76357,134.0,60359
BUENOS AIRES,MERLO,114.0,48007,120.0,71541,124.0,59718
BUENOS AIRES,LANUS,146.0,28133,116.0,44506,114.0,39855
BUENOS AIRES,TIGRE,150.0,32611,111.0,51961,109.0,45401
BUENOS AIRES,PILAR,132.0,34493,109.0,49944,102.0,41528
BUENOS AIRES,FLORENCIO VARELA,102.0,44663,98.0,64455,102.0,52426
BUENOS AIRES,GENERAL SAN MARTIN,128.0,12494,96.0,16719,95.0,13699
BUENOS AIRES,GENERAL SAN MARTIN,128.0,394,96.0,643,95.0,550
BUENOS AIRES,GENERAL SAN MARTIN,128.0,28038,96.0,44539,95.0,39634
BUENOS AIRES,BAHIA BLANCA,124.0,22621,94.0,33944,81.0,28746
BUENOS AIRES,AVELLANEDA,152.0,22784,93.0,37082,78.0,32476
BUENOS AIRES,AVELLANEDA,152.0,2758,93.0,3527,78.0,3231
BUENOS AIRES,AVELLANEDA,152.0,3407,93.0,4940,78.0,4126
BUENOS AIRES,SAN MIGUEL,102.0,24752,92.0,37035,96.0,30653
BUENOS AIRES,BERAZATEGUI,120.0,25806,92.0,41462,96.0,35467
BUENOS AIRES,SAN MIGUEL,102.0,1287,92.0,1758,96.0,1480
BUENOS AIRES,MORON,150.0,18044,90.0,28780,86.0,26584
BUENOS AIRES,SAN ISIDRO,142.0,17057,90.0,26323,88.0,25052
BUENOS AIRES,TRES DE FEBRERO,140.0,21166,87.0,33616,82.0,30170
BUENOS AIRES,MALVINAS ARGENTINAS,85.0,25943,81.0,40319,86.0,34959
BUENOS AIRES,VICENTE LOPEZ,150.0,14893,76.0,22610,69.0,21312
BUENOS AIRES,ESCOBAR,88.0,21900,75.0,31983,76.0,25714
BUENOS AIRES,OLAVARRIA,86.0,8554,73.0,13055,42.0,11526
BUENOS AIRES,ESTEBAN ECHEVERRIA,80.0,27670,71.0,41112,72.0,34241
BUENOS AIRES,JOSE C. PAZ,57.0,29597,62.0,42316,62.0,34014
BUENOS AIRES,TANDIL,89.0,9785,60.0,14723,40.0,12884
BUENOS AIRES,PERGAMINO,77.0,8676,56.0,12264,39.0,10389
BUENOS AIRES,SAN NICOLAS,66.0,12727,56.0,17845,50.0,15225
BUENOS AIRES,SAN FERNANDO,87.0,31821,55.0,45514,48.0,36791
BUENOS AIRES,AZUL,57.0,5390,55.0,8219,27.0,7066
BUENOS AIRES,SAN FERNANDO,87.0,11498,55.0,17900,48.0,15461
BUENOS AIRES,NECOCHEA,62.0,6914,51.0,10545,36.0,9347
BUENOS AIRES,CHIVILCOY,56.0,4906,50.0,7181,22.0,6479
BUENOS AIRES,LUJAN,69.0,8352,49.0,12341,37.0,10388
BUENOS AIRES,25 DE MAYO,63.0,2294,47.0,2998,17.0,2605
BUENOS AIRES,25 DE MAYO,63.0,1353,47.0,1877,17.0,1607
BUENOS AIRES,25 DE MAYO,63.0,2706,47.0,3733,17.0,3238
BUENOS AIRES,25 DE MAYO,63.0,3301,47.0,4543,17.0,3788
BUENOS AIRES,25 DE MAYO,63.0,3369,47.0,4288,17.0,3286
BUENOS AIRES,JUNIN,61.0,2825,46.0,4272,34.0,3956
BUENOS AIRES,JUNIN,61.0,7543,46.0,10433,34.0,8728
BUENOS AIRES,TRENQUE LAUQUEN,57.0,4016,46.0,5326,17.0,4442
BUENOS AIRES,HURLINGHAM,60.0,11620,46.0,18866,48.0,16751
BUENOS AIRES,JUNIN,61.0,3662,46.0,5299,34.0,4319
BUENOS AIRES,ZARATE,57.0,9976,45.0,15431,37.0,13300
BUENOS AIRES,ITUZAINGO,63.0,3816,45.0,4878,49.0,4073
BUENOS AIRES,ITUZAINGO,63.0,10707,45.0,17692,49.0,16004
BUENOS AIRES,EZEIZA,63.0,17155,44.0,25615,44.0,21089
BUENOS AIRES,TRES ARROYOS,52.0,4260,43.0,6392,22.0,5392
BUENOS AIRES,SAN PEDRO,41.0,7205,42.0,10745,24.0,8540
BUENOS AIRES,SAN PEDRO,41.0,4462,42.0,5727,24.0,4161
BUENOS AIRES,CAMPANA,63.0,8120,42.0,12587,42.0,10846
BUENOS AIRES,SAN PEDRO,41.0,5781,42.0,8283,24.0,7113
BUENOS AIRES,MERCEDES,46.0,4965,41.0,6120,25.0,4682
BUENOS AIRES,MERCEDES,46.0,5457,41.0,7882,25.0,6753
BUENOS AIRES,LINCOLN,53.0,3480,41.0,4674,18.0,4080
BUENOS AIRES,LAS FLORES,24.0,1982,39.0,2771,10.0,2543
BUENOS AIRES,CAÑUELAS,34.0,6225,38.0,9538,30.0,7497
BUENOS AIRES,9 DE JULIO,49.0,1295,38.0,1704,20.0,1390
BUENOS AIRES,BALCARCE,47.0,3638,38.0,5070,20.0,4268
BUENOS AIRES,9 DE JULIO,49.0,274,38.0,408,20.0,321
BUENOS AIRES,9 DE JULIO,49.0,3963,38.0,5830,20.0,4999
BUENOS AIRES,9 DE JULIO,49.0,2987,38.0,3572,20.0,3053
BUENOS AIRES,9 DE JULIO,49.0,2720,38.0,3636,20.0,3285
BUENOS AIRES,CHACABUCO,44.0,3518,37.0,5344,19.0,4811
BUENOS AIRES,BOLIVAR,47.0,2830,37.0,3857,15.0,3206
BUENOS AIRES,SALADILLO,37.0,2716,37.0,3785,13.0,3339
BUENOS AIRES,CHACABUCO,44.0,1946,37.0,2742,19.0,2612
BUENOS AIRES,CHACABUCO,44.0,3114,37.0,4114,19.0,3194
BUENOS AIRES,AYACUCHO,26.0,1699,36.0,2442,12.0,2150
BUENOS AIRES,AYACUCHO,26.0,2003,36.0,2770,12.0,2471
BUENOS AIRES,VILLARINO,38.0,2586,35.0,3677,15.0,3288
BUENOS AIRES,LOBOS,49.0,3294,35.0,4668,15.0,4035
BUENOS AIRES,PEHUAJO,36.0,3474,34.0,4827,18.0,4284
BUENOS AIRES,CORONEL SUAREZ,54.0,2881,34.0,4418,22.0,3537
BUENOS AIRES,GENERAL RODRIGUEZ,46.0,14137,33.0,20970,33.0,15698
BUENOS AIRES,LOBERIA,34.0,1302,32.0,1865,10.0,1638
BUENOS AIRES,GENERAL VILLEGAS,39.0,2797,32.0,4006,16.0,3428
BUENOS AIRES,NAVARRO,29.0,1501,30.0,2341,9.0,2082
BUENOS AIRES,SAN VICENTE,31.0,9859,30.0,14032,20.0,10952
BUENOS AIRES,PATAGONES,35.0,2857,30.0,4262,15.0,3335
BUENOS AIRES,SAN ANDRES DE GILES,44.0,2151,29.0,3031,16.0,2583
BUENOS AIRES,BERISSO,26.0,7704,28.0,11779,26.0,9722
BUENOS AIRES,CORONEL DE MARINA L ROSALES,28.0,4705,27.0,7353,19.0,6424
BUENOS AIRES,BARADERO,39.0,3225,27.0,4372,19.0,3818
BUENOS AIRES,GENERAL ALVEAR,18.0,758,26.0,1137,6.0,912
BUENOS AIRES,GENERAL ALVEAR,18.0,4069,26.0,6260,6.0,4846
BUENOS AIRES,MAR CHIQUITA,29.0,2519,26.0,3622,11.0,3044
BUENOS AIRES,GENERAL ALVEAR,18.0,873,26.0,1086,6.0,936
BUENOS AIRES,LA COSTA,34.0,7455,25.0,11364,21.0,10072
BUENOS AIRES,ROQUE PEREZ,29.0,1104,25.0,1572,6.0,1316
BUENOS AIRES,GENERAL PAZ,19.0,1425,25.0,1916,6.0,1636
BUENOS AIRES,GENERAL PAZ,19.0,1095,25.0,1705,6.0,1390
BUENOS AIRES,MARCOS PAZ,29.0,5973,24.0,8477,18.0,7148
BUENOS AIRES,RAUCH,22.0,1197,24.0,1761,7.0,1519
BUENOS AIRES,CORONEL PRINGLES,32.0,1180,24.0,1710,10.0,1641
BUENOS AIRES,RAMALLO,16.0,3451,24.0,4707,11.0,4088
BUENOS AIRES,CORONEL PRINGLES,32.0,1890,24.0,2791,10.0,2166
BUENOS AIRES,GENERAL JUAN MADARIAGA,30.0,1548,23.0,2637,11.0,2375
BUENOS AIRES,ROJAS,31.0,1851,23.0,2724,9.0,2362
BUENOS AIRES,ADOLFO ALSINA,29.0,1292,23.0,1697,12.0,1437
BUENOS AIRES,MAGDALENA,30.0,1935,23.0,2768,15.0,2260
BUENOS AIRES,CARLOS CASARES,34.0,1731,23.0,2491,14.0,2110
BUENOS AIRES,ADOLFO ALSINA,29.0,4517,23.0,7124,12.0,6046
BUENOS AIRES,DOLORES,20.0,2569,22.0,3369,9.0,2998
BUENOS AIRES,TAPALQUE,22.0,873,22.0,1125,5.0,1059
BUENOS AIRES,BRAGADO,28.0,3360,22.0,4807,16.0,4203
BUENOS AIRES,BRANDSEN,24.0,2588,22.0,3997,17.0,3510
BUENOS AIRES,EXALTACION DE LA CRUZ,22.0,3424,21.0,4920,14.0,3860
BUENOS AIRES,RIVADAVIA,19.0,5261,20.0,7683,10.0,6036
BUENOS AIRES,RIVADAVIA,19.0,8399,20.0,11692,10.0,9610
BUENOS AIRES,RIVADAVIA,19.0,487,20.0,649,10.0,539
BUENOS AIRES,CORONEL DORREGO,30.0,1131,20.0,1609,10.0,1418
BUENOS AIRES,SALTO,30.0,3175,20.0,4405,14.0,3794
BUENOS AIRES,DAIREAUX,23.0,1395,20.0,1986,10.0,1828
BUENOS AIRES,ARRECIFES,29.0,2644,20.0,3542,10.0,2961
BUENOS AIRES,RIVADAVIA,19.0,5048,20.0,6427,10.0,4929
BUENOS AIRES,RIVADAVIA,19.0,1734,20.0,2317,10.0,1873
BUENOS AIRES,TORNQUIST,27.0,997,20.0,1549,11.0,1238
BUENOS AIRES,GENERAL ALVARADO,30.0,3570,20.0,4822,19.0,4254
BUENOS AIRES,CARMEN DE ARECO,30.0,1443,19.0,1927,9.0,1709
BUENOS AIRES,GENERAL VIAMONTE,25.0,1801,19.0,2538,9.0,2039
BUENOS AIRES,PRESIDENTE PERON,22.0,10170,19.0,14476,17.0,11730
BUENOS AIRES,CARLOS TEJEDOR,27.0,1107,19.0,1557,9.0,1266
BUENOS AIRES,SAAVEDRA,27.0,1436,18.0,2109,10.0,1799
BUENOS AIRES,ENSENADA,28.0,4917,18.0,7776,16.0,6660
BUENOS AIRES,PUAN,25.0,998,18.0,1459,13.0,1232
BUENOS AIRES,GUAMINI,27.0,822,18.0,1189,8.0,1063
BUENOS AIRES,SAN ANTONIO DE ARECO,34.0,2120,18.0,2873,10.0,2569
BUENOS AIRES,MONTE,25.0,1922,18.0,3031,10.0,2380
BUENOS AIRES,CASTELLI,13.0,760,17.0,1013,3.0,904
BUENOS AIRES,GENERAL BELGRANO,20.0,1411,16.0,1698,9.0,1470
BUENOS AIRES,GENERAL BELGRANO,20.0,621,16.0,784,9.0,728
BUENOS AIRES,GENERAL LA MADRID,21.0,866,16.0,1263,8.0,980
BUENOS AIRES,COLON,22.0,5907,16.0,8095,11.0,6808
BUENOS AIRES,LAPRIDA,20.0,901,16.0,1366,5.0,1152
BUENOS AIRES,COLON,22.0,24253,16.0,34951,11.0,29481
BUENOS AIRES,GENERAL BELGRANO,20.0,1618,16.0,2272,9.0,1893
BUENOS AIRES,GENERAL LAS HERAS,27.0,1466,16.0,2054,6.0,1823
BUENOS AIRES,COLON,22.0,2014,16.0,2851,11.0,2561
BUENOS AIRES,ADOLFO GONZALES CHAVES,24.0,950,16.0,1401,10.0,1170
BUENOS AIRES,PILA,13.0,408,15.0,592,2.0,441
BUENOS AIRES,LEANDRO N. ALEM,20.0,1361,15.0,1838,7.0,1700
BUENOS AIRES,LEANDRO N. ALEM,20.0,4430,15.0,6082,7.0,4879
BUENOS AIRES,GENERAL GUIDO,7.0,236,14.0,338,3.0,304
BUENOS AIRES,PUNTA INDIO,16.0,936,14.0,1384,6.0,1047
BUENOS AIRES,SUIPACHA,22.0,981,14.0,1328,6.0,1257
BUENOS AIRES,GENERAL PINTO,15.0,1104,13.0,1321,7.0,1175
BUENOS AIRES,BENITO JUAREZ,18.0,1608,13.0,2277,10.0,2015
BUENOS AIRES,ALBERTI,18.0,904,13.0,1378,6.0,1198
BUENOS AIRES,MAIPU,14.0,861,12.0,1234,5.0,995
BUENOS AIRES,CAPITAN SARMIENTO,17.0,1180,12.0,1713,6.0,1441
BUENOS AIRES,VILLA GESELL,15.0,2583,12.0,4267,12.0,3801
BUENOS AIRES,MAIPU,14.0,18163,12.0,26442,5.0,21528
BUENOS AIRES,MAIPU,14.0,2701,12.0,3468,5.0,2776
BUENOS AIRES,GENERAL ARENALES,20.0,1212,11.0,1535,10.0,1404
BUENOS AIRES,LEZAMA,6.0,443,11.0,639,3.0,570
BUENOS AIRES,PINAMAR,16.0,3043,10.0,4519,9.0,3979
BUENOS AIRES,SAN CAYETANO,10.0,615,10.0,865,3.0,747
BUENOS AIRES,GENERAL LAVALLE,13.0,419,9.0,636,3.0,493
BUENOS AIRES,FLORENTINO AMEGHINO,13.0,876,9.0,1275,7.0,1107
BUENOS AIRES,FLORENTINO AMEGHINO,13.0,175,9.0,221,7.0,157
BUENOS AIRES,HIPOLITO YRIGOYEN,9.0,789,8.0,1110,5.0,965
BUENOS AIRES,TRES LOMAS,12.0,682,7.0,989,4.0,831
BUENOS AIRES,PELLEGRINI,11.0,2632,6.0,3634,3.0,2937
BUENOS AIRES,PELLEGRINI,11.0,662,6.0,831,3.0,610
BUENOS AIRES,TORDILLO,6.0,244,5.0,298,1.0,231
BUENOS AIRES,SALLIQUELO,10.0,653,5.0,963,4.0,846
