Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
CORDOBA,CAPITAL,2147.0,4678,328824.0
CORDOBA,CAPITAL,2147.0,4678,123715.0
CORDOBA,CAPITAL,2147.0,4678,391498.0
CORDOBA,CAPITAL,2147.0,4678,1498060.0
CORDOBA,CAPITAL,2147.0,4678,624003.0
CORDOBA,CAPITAL,2147.0,4678,437446.0
CORDOBA,CAPITAL,2147.0,4678,210507.0
CORDOBA,CAPITAL,2147.0,4678,114849.0
CORDOBA,CAPITAL,2147.0,4678,587289.0
CORDOBA,CAPITAL,2147.0,4678,186466.0
CORDOBA,CAPITAL,2147.0,4678,118504.0
MENDOZA,CAPITAL,580.0,4678,210507.0
MENDOZA,CAPITAL,580.0,4678,114849.0
MENDOZA,CAPITAL,580.0,4678,391498.0
MENDOZA,CAPITAL,580.0,4678,118504.0
MENDOZA,CAPITAL,580.0,4678,328824.0
MENDOZA,CAPITAL,580.0,4678,123715.0
MENDOZA,CAPITAL,580.0,4678,624003.0
MENDOZA,CAPITAL,580.0,4678,1498060.0
MENDOZA,CAPITAL,580.0,4678,437446.0
MENDOZA,CAPITAL,580.0,4678,186466.0
MENDOZA,CAPITAL,580.0,4678,587289.0
SALTA,CAPITAL,509.0,4678,123715.0
SALTA,CAPITAL,509.0,4678,328824.0
SALTA,CAPITAL,509.0,4678,391498.0
SALTA,CAPITAL,509.0,4678,437446.0
SALTA,CAPITAL,509.0,4678,624003.0
SALTA,CAPITAL,509.0,4678,1498060.0
SALTA,CAPITAL,509.0,4678,186466.0
SALTA,CAPITAL,509.0,4678,210507.0
SALTA,CAPITAL,509.0,4678,587289.0
SALTA,CAPITAL,509.0,4678,114849.0
SALTA,CAPITAL,509.0,4678,118504.0
TUCUMAN,CAPITAL,414.0,4678,391498.0
TUCUMAN,CAPITAL,414.0,4678,114849.0
TUCUMAN,CAPITAL,414.0,4678,210507.0
TUCUMAN,CAPITAL,414.0,4678,328824.0
TUCUMAN,CAPITAL,414.0,4678,123715.0
TUCUMAN,CAPITAL,414.0,4678,118504.0
TUCUMAN,CAPITAL,414.0,4678,186466.0
TUCUMAN,CAPITAL,414.0,4678,587289.0
TUCUMAN,CAPITAL,414.0,4678,1498060.0
TUCUMAN,CAPITAL,414.0,4678,624003.0
TUCUMAN,CAPITAL,414.0,4678,437446.0
SAN JUAN,CAPITAL,270.0,4678,118504.0
SAN JUAN,CAPITAL,270.0,4678,624003.0
SAN JUAN,CAPITAL,270.0,4678,437446.0
SAN JUAN,CAPITAL,270.0,4678,1498060.0
SAN JUAN,CAPITAL,270.0,4678,391498.0
SAN JUAN,CAPITAL,270.0,4678,210507.0
SAN JUAN,CAPITAL,270.0,4678,186466.0
SAN JUAN,CAPITAL,270.0,4678,114849.0
SAN JUAN,CAPITAL,270.0,4678,587289.0
SAN JUAN,CAPITAL,270.0,4678,123715.0
SAN JUAN,CAPITAL,270.0,4678,328824.0
MISIONES,CAPITAL,207.0,4678,118504.0
MISIONES,CAPITAL,207.0,4678,186466.0
MISIONES,CAPITAL,207.0,4678,587289.0
MISIONES,CAPITAL,207.0,4678,210507.0
MISIONES,CAPITAL,207.0,4678,114849.0
MISIONES,CAPITAL,207.0,4678,1498060.0
MISIONES,CAPITAL,207.0,4678,391498.0
MISIONES,CAPITAL,207.0,4678,437446.0
MISIONES,CAPITAL,207.0,4678,624003.0
MISIONES,CAPITAL,207.0,4678,328824.0
MISIONES,CAPITAL,207.0,4678,123715.0
LA RIOJA,CAPITAL,159.0,4678,118504.0
LA RIOJA,CAPITAL,159.0,4678,186466.0
LA RIOJA,CAPITAL,159.0,4678,587289.0
LA RIOJA,CAPITAL,159.0,4678,114849.0
LA RIOJA,CAPITAL,159.0,4678,210507.0
LA RIOJA,CAPITAL,159.0,4678,437446.0
LA RIOJA,CAPITAL,159.0,4678,624003.0
LA RIOJA,CAPITAL,159.0,4678,1498060.0
LA RIOJA,CAPITAL,159.0,4678,391498.0
LA RIOJA,CAPITAL,159.0,4678,328824.0
LA RIOJA,CAPITAL,159.0,4678,123715.0
CORRIENTES,CAPITAL,145.0,4678,123715.0
CORRIENTES,CAPITAL,145.0,4678,328824.0
CORRIENTES,CAPITAL,145.0,4678,114849.0
CORRIENTES,CAPITAL,145.0,4678,210507.0
CORRIENTES,CAPITAL,145.0,4678,186466.0
CORRIENTES,CAPITAL,145.0,4678,587289.0
CORRIENTES,CAPITAL,145.0,4678,1498060.0
CORRIENTES,CAPITAL,145.0,4678,624003.0
CORRIENTES,CAPITAL,145.0,4678,437446.0
CORRIENTES,CAPITAL,145.0,4678,391498.0
CORRIENTES,CAPITAL,145.0,4678,118504.0
CATAMARCA,CAPITAL,130.0,4678,391498.0
CATAMARCA,CAPITAL,130.0,4678,114849.0
CATAMARCA,CAPITAL,130.0,4678,210507.0
CATAMARCA,CAPITAL,130.0,4678,328824.0
CATAMARCA,CAPITAL,130.0,4678,123715.0
CATAMARCA,CAPITAL,130.0,4678,118504.0
CATAMARCA,CAPITAL,130.0,4678,186466.0
CATAMARCA,CAPITAL,130.0,4678,587289.0
CATAMARCA,CAPITAL,130.0,4678,437446.0
CATAMARCA,CAPITAL,130.0,4678,624003.0
CATAMARCA,CAPITAL,130.0,4678,1498060.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,210507.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,114849.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,391498.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,123715.0
SANTIAGO DEL ESTERO,CAPITAL,119.0,4678,328824.0
