provincia,departamento,clae3,Cant. empleos
Tierra Del Fuego,Tolhuin,022,88
Chubut,Paso de Indios,014,21
Cordoba,Sobremonte,203,53
Corrientes,San Cosme,429,175
Mendoza,Las Heras,471,2246
San Juan,Santa Lucía,463,233
La Pampa,Quemú Quemú,014,99
Buenos Aires,Luján,851,976
Buenos Aires,Salliqueló,461,97
Buenos Aires,Ramallo,241,3453
Cordoba,Marcos Juárez,011,1354
Tierra Del Fuego,Ushuaia,264,1774
Tucuman,Graneros,421,66
Tucuman,Monteros,107,876
Buenos Aires,Necochea,851,810
Rio Negro,Conesa,014,61
Buenos Aires,Trenque Lauquen,015,580
Mendoza,Maipú,110,3016
Chubut,Gastre,073,22
Buenos Aires,Avellaneda,851,2577
Misiones,Leandro N. Alem,120,396
Formosa,Patiño,014,204
San Juan,Valle Fértil,013,18
Neuquen,Picunches,014,29
San Juan,Chimbas,410,853
Jujuy,Valle Grande,012,14
Santiago Del Estero,Río Hondo,551,295
La Pampa,Hucal,101,122
Buenos Aires,Berisso,429,612
Santa Fe,Garay,851,152
Santa Fe,San Justo,105,368
Formosa,Pirané,492,239
Chaco,O'Higgins,012,59
Buenos Aires,Maipú,014,153
La Rioja,Arauco,011,319
La Rioja,General San Martín,477,3
La Pampa,Caleu Caleu,101,234
Buenos Aires,Coronel de Marina Leonardo Rosales,851,277
Santiago Del Estero,Capital,851,2197
Buenos Aires,Rivadavia,014,232
Corrientes,San Roque,014,114
Buenos Aires,Rauch,014,294
Chubut,Biedma,102,2022
Santiago Del Estero,Robles,101,354
Buenos Aires,Carlos Casares,461,542
Misiones,Capital,410,3216
Cordoba,Río Seco,014,136
San Juan,Capital,410,2285
Cordoba,Pocho,551,6
La Rioja,Sanagasta,240,21
Santiago Del Estero,Quebrachos,012,18
Buenos Aires,Daireaux,014,301
Corrientes,Mburucuyá,471,45
Mendoza,Rivadavia,012,1213
Santiago Del Estero,Moreno,011,177
Buenos Aires,Villa Gesell,851,308
Cordoba,Santa María,293,876
San Luis,Chacabuco,222,281
Buenos Aires,Benito Juárez,014,348
Misiones,Libertador General San Martín,161,539
Jujuy,Santa Catalina,440,22
Misiones,San Ignacio,013,745
Buenos Aires,Hipólito Yrigoyen,851,92
Catamarca,Belén,851,106
Misiones,Concepción,013,352
Buenos Aires,Olavarría,851,893
Buenos Aires,Navarro,101,136
Salta,San Carlos,014,11
Tucuman,Capital,016,13453
CABA,Comuna 2,950,4550
Cordoba,San Justo,107,1521
La Pampa,Realicó,014,125
Formosa,Matacos,410,45
Salta,Cachi,110,52
Santa Fe,Vera,014,321
Buenos Aires,José C. Paz,851,1458
Buenos Aires,San Andrés de Giles,101,476
La Pampa,Limay Mahuida,332,13
Buenos Aires,Quilmes,851,5380
Buenos Aires,San Fernando,221,1983
La Pampa,Trenel,101,148
Corrientes,Paso de los Libres,014,278
Entre Rios,San Salvador,106,349
Buenos Aires,Salto,013,1004
Neuquen,Lácar,551,278
Cordoba,Presidente Roque Sáenz Peña,106,246
Buenos Aires,Colón,131,737
Buenos Aires,Esteban Echeverría,530,2564
Chaco,Libertador General San Martín,014,130
Misiones,Guaraní,108,271
Santa Cruz,Río Chico,260,32
Mendoza,Luján de Cuyo,110,2344
Catamarca,Antofagasta de la Sierra,090,447
Rio Negro,9 de Julio,410,20
La Rioja,Independencia,421,20
Chaco,Sargento Cabral,014,58
San Luis,General Pedernera,241,841
Buenos Aires,Vicente López,801,10249
Santiago Del Estero,Sarmiento,108,70
Entre Rios,Uruguay,101,2529
Santa Fe,San Cristóbal,015,503
Neuquen,Ñorquín,931,79
Neuquen,Picún Leufú,015,13
Buenos Aires,Tres de Febrero,851,2535
Entre Rios,Feliciano,014,97
Buenos Aires,Marcos Paz,101,466
Buenos Aires,Coronel Dorrego,011,182
Buenos Aires,Pellegrini,014,74
Cordoba,Tercero Arriba,011,727
San Juan,25 de Mayo,012,316
Buenos Aires,Guaminí,014,141
Buenos Aires,Patagones,471,204
Corrientes,Capital,410,1431
Mendoza,Santa Rosa,012,382
La Rioja,General Felipe Varela,551,32
Catamarca,Paclín,016,18
Buenos Aires,San Cayetano,011,118
Chaco,General Güemes,851,244
Misiones,25 de Mayo,161,115
La Rioja,General Lamadrid,103,4
CABA,Comuna 1,642,23097
Buenos Aires,Adolfo Gonzales Chaves,101,110
Santiago Del Estero,Aguirre,855,23
Neuquen,Añelo,422,854
Corrientes,Saladas,014,169
Corrientes,Lavalle,011,247
La Pampa,Capital,410,1100
Neuquen,Loncopué,931,49
Santa Fe,La Capital,851,3449
Neuquen,Confluencia,091,14417
Misiones,Candelaria,161,173
Corrientes,San Luis del Palmar,014,25
Chaco,Fray Justo Santa María de Oro,950,15
Rio Negro,San Antonio,524,207
La Pampa,Atreucó,461,151
Buenos Aires,Chacabuco,013,648
Chubut,Paso de Indios,410,21
Formosa,Bermejo,421,71
Chubut,Futaleufú,851,211
Santa Fe,San Lorenzo,104,3603
Tucuman,Burruyacú,492,176
Cordoba,Ischilín,351,116
Corrientes,Sauce,014,146
Santa Fe,9 de Julio,014,292
Corrientes,Monte Caseros,012,471
Buenos Aires,Ayacucho,014,489
La Rioja,Ángel Vicente Peñaloza,014,1
Corrientes,San Martín,014,128
Mendoza,San Martín,012,1771
San Juan,Calingasta,012,70
Buenos Aires,General Alvarado,851,214
Mendoza,Tunuyán,110,1023
Neuquen,Minas,421,47
Buenos Aires,Chivilcoy,851,464
Salta,Cerrillos,011,998
Chaco,Presidencia de la Plaza,351,498
Formosa,Laishi,421,110
Salta,La Caldera,422,70
Santiago Del Estero,General Taboada,852,80
Tucuman,Trancas,012,155
Buenos Aires,Tapalqué,014,189
Cordoba,Minas,467,36
Mendoza,Tupungato,012,727
Cordoba,Juárez Celman,104,1325
San Juan,Rivadavia,853,846
Buenos Aires,Bragado,243,697
Chaco,9 de Julio,011,141
San Luis,Libertador General San Martín,240,28
Santa Cruz,Lago Buenos Aires,073,1411
Salta,Rosario de Lerma,011,989
Tucuman,Cruz Alta,016,2406
Buenos Aires,Arrecifes,101,233
Buenos Aires,Campana,241,3764
Chubut,Gaiman,012,302
Entre Rios,Gualeguay,101,1232
Buenos Aires,Tordillo,014,85
Entre Rios,Tala,015,96
Chaco,25 de Mayo,310,71
Santa Cruz,Magallanes,073,1770
La Pampa,Chapaleufú,471,572
Salta,Orán,107,1342
La Rioja,General Belgrano,852,24
Buenos Aires,La Costa,851,309
Buenos Aires,Las Flores,014,282
Buenos Aires,Alberti,011,191
Chaco,General Belgrano,022,127
Cordoba,Cruz del Eje,492,376
Santa Fe,Belgrano,282,2169
CABA,Comuna 8,801,2590
Catamarca,Capital,851,1675
Corrientes,Mercedes,014,726
Salta,Cafayate,110,686
Buenos Aires,General Lavalle,471,132
Chaco,Comandante Fernández,851,268
Santiago Del Estero,Avellaneda,013,51
Catamarca,Santa Rosa,011,133
Neuquen,Zapala,410,206
Buenos Aires,Bolívar,014,336
Santiago Del Estero,Choya,492,156
Cordoba,Pocho,475,6
La Rioja,General Ortiz de Ocampo,421,18
Chaco,Almirante Brown,022,271
Buenos Aires,Almirante Brown,851,3351
Neuquen,Huiliches,410,135
Entre Rios,Nogoyá,851,283
Santa Fe,Rosario,410,7698
La Rioja,General Juan Facundo Quiroga,014,1
Salta,Metán,016,2092
CABA,Comuna 15,410,2095
Buenos Aires,Hurlingham,801,1311
Buenos Aires,San Antonio de Areco,949,204
Buenos Aires,Brandsen,151,594
Buenos Aires,General La Madrid,014,262
Santiago Del Estero,Belgrano,011,162
CABA,Comuna 5,861,3837
Chaco,Mayor Luis J. Fontana,012,326
Buenos Aires,Chascomús,014,258
Buenos Aires,Cañuelas,106,731
Rio Negro,25 de Mayo,081,80
San Juan,Angaco,851,90
Catamarca,Pomán,011,266
Chaco,1° de Mayo,473,25
Santa Fe,San Javier,851,205
Cordoba,Tulumba,016,70
Chaco,Tapenagá,014,120
Entre Rios,Islas del Ibicuy,429,180
CABA,Comuna 7,851,2146
Chaco,Bermejo,421,144
Cordoba,San Alberto,011,173
Catamarca,Fray Mamerto Esquiú,101,30
Misiones,Cainguás,013,1081
CABA,Comuna 11,410,2459
Buenos Aires,General Belgrano,852,132
Buenos Aires,Tornquist,170,180
Salta,Chicoana,011,1137
Santa Cruz,Güer Aike,051,1917
Santiago Del Estero,Alberdi,014,125
Santiago Del Estero,Banda,421,788
Buenos Aires,General Juan Madariaga,471,173
Chubut,Florentino Ameghino,081,37
Buenos Aires,Carmen de Areco,101,230
San Juan,Ullum,099,5
La Pampa,Curacó,110,53
Salta,Rosario de la Frontera,421,289
Buenos Aires,Tigre,291,6185
Buenos Aires,Monte,101,742
San Juan,Rawson,410,1170
Misiones,General Manuel Belgrano,013,647
Salta,General José de San Martín,410,858
Buenos Aires,Rojas,202,570
San Juan,Zonda,429,861
Buenos Aires,Mercedes,101,877
Buenos Aires,Lincoln,014,437
Buenos Aires,Dolores,014,188
Buenos Aires,Ezeiza,511,2509
Santiago Del Estero,Jiménez,014,48
Buenos Aires,General Villegas,011,452
Buenos Aires,General Pueyrredón,851,4589
Buenos Aires,San Pedro,170,496
Catamarca,Valle Viejo,429,485
Buenos Aires,Ensenada,301,2710
Buenos Aires,Exaltación de la Cruz,240,195
Mendoza,Godoy Cruz,851,1521
Misiones,Oberá,108,1032
Santa Fe,San Martín,101,862
Buenos Aires,25 de Mayo,014,323
La Pampa,Utracán,014,152
Salta,Los Andes,090,937
Jujuy,Santa Bárbara,012,210
Santa Cruz,Lago Argentino,429,978
Santiago Del Estero,San Martín,851,25
Entre Rios,Villaguay,014,250
Neuquen,Pehuenches,091,2048
Cordoba,Colón,851,1335
Entre Rios,La Paz,830,401
Misiones,Iguazú,551,1098
Buenos Aires,Morón,851,3562
Salta,Guachipas,011,81
Jujuy,Palpalá,492,279
Buenos Aires,Saavedra,014,124
Rio Negro,Bariloche,551,1159
Salta,Iruya,103,5
CABA,Comuna 13,851,4978
Entre Rios,Gualeguaychú,852,571
Buenos Aires,Carlos Tejedor,014,144
Jujuy,Cochinoca,429,1155
Rio Negro,General Roca,012,12255
Buenos Aires,Ituzaingó,851,1379
Cordoba,Capital,822,9194
Buenos Aires,Magdalena,151,449
La Pampa,Toay,431,99
Buenos Aires,Lobos,105,175
Buenos Aires,Lomas de Zamora,851,6807
San Juan,Pocito,210,682
Jujuy,Ledesma,107,5679
La Rioja,General Lamadrid,012,4
Cordoba,General San Martín,851,1118
CABA,Comuna 10,801,3588
Misiones,Montecarlo,161,511
Buenos Aires,Pila,011,39
CABA,Comuna 3,801,4863
