clae6,letra,clae6_desc,letra_desc
14211,A,"Cría de ganado equino, excepto la realizada en haras (Incluye equinos de trabajo, asnos, mulas, burdéganos)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11331,A,"Cultivo de hortalizas de hoja y de otras hortalizas frescas (Incluye acelga, apio, coles, espinaca, lechuga, perejil, radicheta, repollo, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14410,A,Cría de ganado ovino -excepto en cabañas y para la  producción de lana y leche-,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11211,A,Cultivo de soja,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
17010,A,"Caza y repoblación  de animales de caza (Incluye la caza de animales para obtener carne, pieles y cueros y la captura de animales vivos para zoológicos, animales de compañía, para investigación, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
11400,A,Cultivo de tabaco,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12121,A,Cultivo de uva de mesa,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14720,A,Producción de pelos de ganado n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12110,A,Cultivo de vid para vinificar,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14520,A,Cría de ganado porcino realizado en cabañas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14221,A,Cría de ganado equino realizada en haras (Incluye la producción de semen),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12701,A,Cultivo de yerba mate,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12709,A,Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16291,A,"Servicios para el control de plagas, baños parasiticidas, etc.","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14121,A,Cría de ganado bovino realizada en cabañas (Incluye: ganado bubalino y la producción de semen),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
13020,A,"Producción de otras formas de propagación de cultivos agrícolas (Incluye gajos, bulbos, estacas enraizadas o no, esquejes, plantines, etc.) ","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
16111,A,"Servicios de labranza, siembra, transplante  y  cuidados culturales","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14990,A,"Cría de animales y obtención de productos de origen animal, n.c.p. (Incluye ciervo, gato, gusano de seda, lombriz, pájaro, perro, rana, animales para experimentación, caracoles vivos, frescos, congelados y secos -excepto marinos-, cera de insectos excepto la de abeja, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
12590,A,"Cultivo de plantas sacaríferas n.c.p. (Incluye remolacha azucarera, etc.)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14510,A,"Cría de ganado porcino, excepto la realizada en cabañas","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
14440,A,Cría de ganado caprino realizada en cabañas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
