id_departamento,departamento,provincia,cant de personas en nivel_inicial,cant de personas en jardin_de_infantes,cant de personas en primario,cant de personas en secundario,cant de personas en adulto,total poblacion
2007.0,COMUNA 1,CABA,5368,6851,17398,14659,176725.0,221001.0
2014.0,COMUNA 2,CABA,3095,3521,8758,9155,136080.0,160609.0
2021.0,COMUNA 3,CABA,4021,5197,13857,12322,158140.0,193537.0
2028.0,COMUNA 4,CABA,5724,8119,22520,18869,171792.0,227024.0
2035.0,COMUNA 5,CABA,3669,4779,13029,11616,159356.0,192449.0
2042.0,COMUNA 6,CABA,4024,5158,13889,12281,166412.0,201764.0
2049.0,COMUNA 7,CABA,4653,6129,17292,15351,169837.0,213262.0
2056.0,COMUNA 8,CABA,6126,8442,23918,20127,145275.0,203888.0
2063.0,COMUNA 9,CABA,3558,5015,14531,13545,131259.0,167908.0
2070.0,COMUNA 10,CABA,3510,4745,13286,12254,138101.0,171896.0
2077.0,COMUNA 11,CABA,3987,5321,14922,13918,163757.0,201905.0
2084.0,COMUNA 12,CABA,5266,6676,17210,14615,191597.0,235364.0
2091.0,COMUNA 13,CABA,5504,6553,17774,16311,216188.0,262330.0
2098.0,COMUNA 14,CABA,5214,5701,14539,13329,208469.0,247252.0
2105.0,COMUNA 15,CABA,4060,5328,14068,12311,159498.0,195265.0
6007.0,ADOLFO ALSINA,BUENOS AIRES,560,732,1697,1437,12918.0,17344.0
6014.0,ADOLFO GONZALES CHAVES,BUENOS AIRES,427,523,1401,1170,9326.0,12847.0
6021.0,ALBERTI,BUENOS AIRES,409,495,1378,1198,9426.0,12906.0
6028.0,ALMIRANTE BROWN,BUENOS AIRES,18574,25188,67913,58227,413307.0,583209.0
6035.0,AVELLANEDA,BUENOS AIRES,9616,13168,37082,32476,273775.0,366117.0
6042.0,AYACUCHO,BUENOS AIRES,714,985,2442,2150,15466.0,21757.0
6049.0,AZUL,BUENOS AIRES,2304,3086,8219,7066,54477.0,75152.0
6056.0,BAHIA BLANCA,BUENOS AIRES,10099,12522,33944,28746,249194.0,334505.0
6063.0,BALCARCE,BUENOS AIRES,1665,1973,5070,4268,35540.0,48516.0
6070.0,BARADERO,BUENOS AIRES,1528,1697,4372,3818,27808.0,39223.0
6077.0,ARRECIFES,BUENOS AIRES,1209,1435,3542,2961,22930.0,32077.0
6084.0,BENITO JUAREZ,BUENOS AIRES,692,916,2277,2015,15285.0,21185.0
6091.0,BERAZATEGUI,BUENOS AIRES,10963,14843,41462,35467,255593.0,358328.0
6098.0,BERISSO,BUENOS AIRES,3377,4327,11779,9722,71480.0,100685.0
6105.0,BOLIVAR,BUENOS AIRES,1240,1590,3857,3206,27301.0,37194.0
6112.0,BRAGADO,BUENOS AIRES,1476,1884,4807,4203,33857.0,46227.0
6119.0,BRANDSEN,BUENOS AIRES,1113,1475,3997,3510,22255.0,32350.0
6126.0,CAMPANA,BUENOS AIRES,3492,4628,12587,10846,76423.0,107976.0
6134.0,CAÑUELAS,BUENOS AIRES,2650,3575,9538,7497,47282.0,70542.0
6140.0,CAPITAN SARMIENTO,BUENOS AIRES,555,625,1713,1441,11548.0,15882.0
6147.0,CARLOS CASARES,BUENOS AIRES,752,979,2491,2110,16573.0,22905.0
6154.0,CARLOS TEJEDOR,BUENOS AIRES,479,628,1557,1266,10077.0,14007.0
6161.0,CARMEN DE ARECO,BUENOS AIRES,658,785,1927,1709,12266.0,17345.0
6168.0,CASTELLI,BUENOS AIRES,344,416,1013,904,6874.0,9551.0
6175.0,COLON,BUENOS AIRES,902,1112,2851,2561,19980.0,27406.0
6182.0,CORONEL DE MARINA L ROSALES,BUENOS AIRES,2021,2684,7353,6424,47341.0,65823.0
6189.0,CORONEL DORREGO,BUENOS AIRES,499,632,1609,1418,11637.0,15795.0
6196.0,CORONEL PRINGLES,BUENOS AIRES,815,1075,2791,2166,17263.0,24110.0
6203.0,CORONEL SUAREZ,BUENOS AIRES,1308,1573,4418,3537,30877.0,41713.0
6210.0,CHACABUCO,BUENOS AIRES,1578,1940,5344,4811,38736.0,52409.0
6218.0,,,1294,1873,4976,4223,29825.0,42191.0
6224.0,CHIVILCOY,BUENOS AIRES,2173,2733,7181,6479,51988.0,70554.0
6231.0,DAIREAUX,BUENOS AIRES,605,790,1986,1828,13119.0,18328.0
6238.0,DOLORES,BUENOS AIRES,1171,1398,3369,2998,22469.0,31405.0
6245.0,ENSENADA,BUENOS AIRES,2057,2860,7776,6660,44625.0,63978.0
6252.0,ESCOBAR,BUENOS AIRES,9606,12294,31983,25714,176474.0,256071.0
6260.0,ESTEBAN ECHEVERRIA,BUENOS AIRES,12180,15490,41112,34241,234857.0,337880.0
6266.0,EXALTACION DE LA CRUZ,BUENOS AIRES,1495,1929,4920,3860,27832.0,40036.0
6270.0,EZEIZA,BUENOS AIRES,7330,9825,25615,21089,134761.0,198620.0
6274.0,FLORENCIO VARELA,BUENOS AIRES,19960,24703,64455,52426,326559.0,488103.0
6277.0,FLORENTINO AMEGHINO,BUENOS AIRES,406,470,1275,1107,7501.0,10759.0
6280.0,GENERAL ALVARADO,BUENOS AIRES,1625,1945,4822,4254,32661.0,45307.0
6287.0,GENERAL ALVEAR,BUENOS AIRES,329,429,1137,912,7343.0,10150.0
6294.0,GENERAL ARENALES,BUENOS AIRES,557,655,1535,1404,12080.0,16231.0
6301.0,GENERAL BELGRANO,BUENOS AIRES,719,899,2272,1893,14891.0,20674.0
6308.0,GENERAL GUIDO,BUENOS AIRES,99,137,338,304,2279.0,3157.0
6315.0,GENERAL JUAN MADARIAGA,BUENOS AIRES,639,909,2637,2375,16006.0,22566.0
6322.0,GENERAL LA MADRID,BUENOS AIRES,392,474,1263,980,8426.0,11535.0
6329.0,GENERAL LAS HERAS,BUENOS AIRES,630,836,2054,1823,12637.0,17980.0
6336.0,GENERAL LAVALLE,BUENOS AIRES,169,250,636,493,3298.0,4846.0
6343.0,GENERAL PAZ,BUENOS AIRES,456,639,1705,1390,9951.0,14141.0
6351.0,GENERAL PINTO,BUENOS AIRES,519,585,1321,1175,9242.0,12842.0
6357.0,GENERAL PUEYRREDON,BUENOS AIRES,18327,23100,62565,57730,498847.0,660569.0
6364.0,GENERAL RODRIGUEZ,BUENOS AIRES,6329,7808,20970,15698,91510.0,142315.0
6371.0,GENERAL SAN MARTIN,BUENOS AIRES,12141,15897,44539,39634,332292.0,444503.0
6385.0,GENERAL VIAMONTE,BUENOS AIRES,799,1002,2538,2039,16152.0,22530.0
6392.0,GENERAL VILLEGAS,BUENOS AIRES,1287,1510,4006,3428,24824.0,35055.0
6399.0,GUAMINI,BUENOS AIRES,362,460,1189,1063,8588.0,11662.0
6406.0,HIPOLITO YRIGOYEN,BUENOS AIRES,354,435,1110,965,7717.0,10581.0
6408.0,HURLINGHAM,BUENOS AIRES,4945,6675,18866,16751,138124.0,185361.0
6410.0,ITUZAINGO,BUENOS AIRES,4475,6232,17692,16004,133580.0,177983.0
6412.0,JOSE C. PAZ,BUENOS AIRES,13198,16399,42316,34014,220600.0,326527.0
6413.0,JUNIN,BUENOS AIRES,3416,4127,10433,8728,74260.0,100964.0
6420.0,LA COSTA,BUENOS AIRES,3210,4245,11364,10072,71509.0,100400.0
6427.0,LA MATANZA,BUENOS AIRES,69872,87162,225872,181212,1273050.0,1837168.0
6434.0,LANUS,BUENOS AIRES,12105,16028,44506,39855,347587.0,460081.0
6441.0,LA PLATA,BUENOS AIRES,22815,29260,77998,67326,558675.0,756074.0
6448.0,LAPRIDA,BUENOS AIRES,369,532,1366,1152,8077.0,11496.0
6455.0,LAS FLORES,BUENOS AIRES,881,1101,2771,2543,19840.0,27136.0
6462.0,LEANDRO N. ALEM,BUENOS AIRES,622,739,1838,1700,12254.0,17153.0
6466.0,LEZAMA,BUENOS AIRES,188,255,639,570,4518.0,6170.0
6469.0,LINCOLN,BUENOS AIRES,1637,1843,4674,4080,32957.0,45191.0
6476.0,LOBERIA,BUENOS AIRES,603,699,1865,1638,13301.0,18106.0
6483.0,LOBOS,BUENOS AIRES,1441,1853,4668,4035,29421.0,41418.0
6490.0,LOMAS DE ZAMORA,BUENOS AIRES,22019,28806,76967,65257,492595.0,685644.0
6497.0,LUJAN,BUENOS AIRES,3651,4701,12341,10388,79030.0,110111.0
6505.0,MAGDALENA,BUENOS AIRES,893,1042,2768,2260,15690.0,22653.0
6511.0,MAIPU,BUENOS AIRES,358,503,1234,995,8163.0,11253.0
6515.0,MALVINAS ARGENTINAS,BUENOS AIRES,11378,14565,40319,34959,248180.0,349401.0
6518.0,MAR CHIQUITA,BUENOS AIRES,1096,1423,3622,3044,23788.0,32973.0
6525.0,MARCOS PAZ,BUENOS AIRES,2513,3460,8477,7148,43163.0,64761.0
6532.0,MERCEDES,BUENOS AIRES,2373,3084,7882,6753,50910.0,71002.0
6539.0,MERLO,BUENOS AIRES,20902,27105,71541,59718,402218.0,581484.0
6547.0,MONTE,BUENOS AIRES,824,1098,3031,2380,17283.0,24616.0
6553.0,MONTE HERMOSO,BUENOS AIRES,279,317,942,782,6124.0,8444.0
6560.0,MORENO,BUENOS AIRES,22270,28521,76357,60359,388251.0,575758.0
6568.0,MORON,BUENOS AIRES,7698,10346,28780,26584,256109.0,329517.0
6574.0,NAVARRO,BUENOS AIRES,673,828,2341,2082,13964.0,19888.0
6581.0,NECOCHEA,BUENOS AIRES,3009,3905,10545,9347,74677.0,101483.0
6588.0,9 DE JULIO,BUENOS AIRES,1701,2262,5830,4999,37574.0,52366.0
6595.0,OLAVARRIA,BUENOS AIRES,3714,4840,13055,11526,88876.0,122011.0
6602.0,PATAGONES,BUENOS AIRES,1227,1630,4262,3335,27045.0,37499.0
6609.0,PEHUAJO,BUENOS AIRES,1588,1886,4827,4284,32009.0,44594.0
6616.0,PELLEGRINI,BUENOS AIRES,289,373,831,610,5009.0,7112.0
6623.0,PERGAMINO,BUENOS AIRES,3856,4820,12264,10389,83659.0,114988.0
6630.0,PILA,BUENOS AIRES,160,248,592,441,3174.0,4615.0
6638.0,PILAR,BUENOS AIRES,15629,18864,49944,41528,267649.0,393614.0
6644.0,PINAMAR,BUENOS AIRES,1324,1719,4519,3979,27683.0,39224.0
6648.0,PRESIDENTE PERON,BUENOS AIRES,4607,5563,14476,11730,65618.0,101994.0
6651.0,PUAN,BUENOS AIRES,457,541,1459,1232,12702.0,16391.0
6655.0,PUNTA INDIO,BUENOS AIRES,401,535,1384,1047,8794.0,12161.0
6658.0,QUILMES,BUENOS AIRES,20378,26975,70881,60085,453455.0,631774.0
6665.0,RAMALLO,BUENOS AIRES,1522,1929,4707,4088,27402.0,39648.0
6672.0,RAUCH,BUENOS AIRES,528,669,1761,1519,12014.0,16491.0
6679.0,RIVADAVIA,BUENOS AIRES,792,942,2317,1873,13811.0,19735.0
6686.0,ROJAS,BUENOS AIRES,824,1027,2724,2362,18682.0,25619.0
6693.0,ROQUE PEREZ,BUENOS AIRES,489,615,1572,1316,9909.0,13901.0
6700.0,SAAVEDRA,BUENOS AIRES,651,785,2109,1799,16063.0,21407.0
6707.0,SALADILLO,BUENOS AIRES,1240,1476,3785,3339,25583.0,35423.0
6714.0,SALTO,BUENOS AIRES,1447,1728,4405,3794,27883.0,39257.0
6721.0,SALLIQUELO,BUENOS AIRES,287,366,963,846,6882.0,9344.0
6728.0,SAN ANDRES DE GILES,BUENOS AIRES,915,1236,3031,2583,18634.0,26399.0
6735.0,SAN ANTONIO DE ARECO,BUENOS AIRES,952,1168,2873,2569,19133.0,26695.0
6742.0,SAN CAYETANO,BUENOS AIRES,301,314,865,747,6691.0,8918.0
6749.0,SAN FERNANDO,BUENOS AIRES,4904,6594,17900,15461,126240.0,171099.0
6756.0,SAN ISIDRO,BUENOS AIRES,7569,9488,26323,25052,227546.0,295978.0
6760.0,SAN MIGUEL,BUENOS AIRES,10773,13979,37035,30653,235210.0,327650.0
6763.0,SAN NICOLAS,BUENOS AIRES,5789,6938,17845,15225,120860.0,166657.0
6770.0,SAN PEDRO,BUENOS AIRES,2616,3165,8283,7113,47176.0,68353.0
6778.0,SAN VICENTE,BUENOS AIRES,4354,5505,14032,10952,63086.0,97929.0
6784.0,SUIPACHA,BUENOS AIRES,446,535,1328,1257,8170.0,11736.0
6791.0,TANDIL,BUENOS AIRES,4268,5517,14723,12884,107286.0,144678.0
6798.0,TAPALQUE,BUENOS AIRES,387,486,1125,1059,7638.0,10695.0
6805.0,TIGRE,BUENOS AIRES,14157,18454,51961,45401,316318.0,446291.0
6812.0,TORDILLO,BUENOS AIRES,108,136,298,231,1755.0,2528.0
6819.0,TORNQUIST,BUENOS AIRES,427,570,1549,1238,10807.0,14591.0
6826.0,TRENQUE LAUQUEN,BUENOS AIRES,1845,2171,5326,4442,35344.0,49128.0
6833.0,TRES ARROYOS,BUENOS AIRES,1828,2432,6392,5392,45845.0,61889.0
6840.0,TRES DE FEBRERO,BUENOS AIRES,8886,12280,33616,30170,277367.0,362319.0
6847.0,TRES LOMAS,BUENOS AIRES,302,380,989,831,6588.0,9090.0
6854.0,25 DE MAYO,BUENOS AIRES,1208,1498,3733,3238,25734.0,35411.0
6861.0,VICENTE LOPEZ,BUENOS AIRES,6545,8348,22610,21312,221726.0,280541.0
6868.0,VILLA GESELL,BUENOS AIRES,1107,1476,4267,3801,26674.0,37325.0
6875.0,VILLARINO,BUENOS AIRES,1171,1415,3677,3288,23001.0,32552.0
6882.0,ZARATE,BUENOS AIRES,4430,5546,15431,13300,92708.0,131415.0
10007.0,AMBATO,CATAMARCA,156,218,439,401,3873.0,5087.0
10014.0,ANCASTI,CATAMARCA,106,137,334,322,2383.0,3282.0
10021.0,ANDALGALA,CATAMARCA,665,870,2037,2051,13922.0,19545.0
10028.0,ANTOFAGASTA DE LA SIERRA,CATAMARCA,68,74,241,174,1265.0,1822.0
10035.0,BELEN,CATAMARCA,1048,1434,3513,3350,21008.0,30353.0
10042.0,CAPAYAN,CATAMARCA,799,898,2244,2043,13487.0,19471.0
10049.0,CAPITAL,CATAMARCA,6195,8055,20132,17544,134540.0,186466.0
10056.0,EL ALTO,CATAMARCA,190,204,517,485,2979.0,4375.0
10063.0,FRAY MAMERTO ESQUIU,CATAMARCA,553,654,1651,1397,10369.0,14624.0
10070.0,LA PAZ,CATAMARCA,1091,1261,3146,2844,17999.0,26341.0
10077.0,PACLIN,CATAMARCA,145,172,512,450,3417.0,4696.0
10084.0,POMAN,CATAMARCA,434,554,1480,1321,8430.0,12219.0
10091.0,SANTA MARIA,CATAMARCA,941,1238,2998,2619,19026.0,26822.0
10098.0,SANTA ROSA,CATAMARCA,529,625,1476,1361,9326.0,13317.0
10105.0,TINOGASTA,CATAMARCA,890,1134,2784,2684,17762.0,25254.0
