clae6,letra,clae6_desc,clae2_desc,letra_desc
014211,A,"Cría de ganado equino, excepto la realizada en haras (Incluye equinos de trabajo, asnos, mulas, burdéganos)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011331,A,"Cultivo de hortalizas de hoja y de otras hortalizas frescas (Incluye acelga, apio, coles, espinaca, lechuga, perejil, radicheta, repollo, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014410,A,Cría de ganado ovino -excepto en cabañas y para la  producción de lana y leche-,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011211,A,Cultivo de soja,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
017010,A,"Caza y repoblación  de animales de caza (Incluye la caza de animales para obtener carne, pieles y cueros y la captura de animales vivos para zoológicos, animales de compañía, para investigación, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011400,A,Cultivo de tabaco,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012121,A,Cultivo de uva de mesa,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014720,A,Producción de pelos de ganado n.c.p.,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012110,A,Cultivo de vid para vinificar,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014520,A,Cría de ganado porcino realizado en cabañas,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014221,A,Cría de ganado equino realizada en haras (Incluye la producción de semen),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012701,A,Cultivo de yerba mate,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012709,A,Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016291,A,"Servicios para el control de plagas, baños parasiticidas, etc.","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014121,A,Cría de ganado bovino realizada en cabañas (Incluye: ganado bubalino y la producción de semen),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
013020,A,"Producción de otras formas de propagación de cultivos agrícolas (Incluye gajos, bulbos, estacas enraizadas o no, esquejes, plantines, etc.) ","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016111,A,"Servicios de labranza, siembra, transplante  y  cuidados culturales","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014990,A,"Cría de animales y obtención de productos de origen animal, n.c.p. (Incluye ciervo, gato, gusano de seda, lombriz, pájaro, perro, rana, animales para experimentación, caracoles vivos, frescos, congelados y secos -excepto marinos-, cera de insectos excepto la de abeja, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012590,A,"Cultivo de plantas sacaríferas n.c.p. (Incluye remolacha azucarera, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014510,A,"Cría de ganado porcino, excepto la realizada en cabañas","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014440,A,Cría de ganado caprino realizada en cabañas,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014930,A,"Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas (Incluye cría de visón, nutria, chinchilla, reptiles, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014114,A,Invernada  de ganado bovino excepto el engorde en corrales (Feed-Lot),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016113,A,"Servicios de pulverización, desinfección y fumigación aérea ","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014920,A,Cunicultura,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012800,A,Cultivo de especias y de plantas aromáticas y medicinales,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011130,A,Cultivo de pastos de uso forrajero,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014620,A,Producción de leche de oveja y de cabra,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011912,A,Cultivo de plantas ornamentales,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016150,A,Servicios de procesamiento de semillas para su siembra (Incluye la selección de semillas),"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011990,A,Cultivos temporales ncp,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012311,A,Cultivo de manzana y pera,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012510,A,Cultivo de caña de azúcar,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
