Cueanexo,provincia,Departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET
020000100,CABA,COMUNA 4,1,1,1,1,0,0,0
020000200,CABA,COMUNA 4,0,0,1,0,0,0,0
020000300,CABA,COMUNA 13,1,1,1,0,0,0,0
020000500,CABA,COMUNA 13,1,1,1,1,0,0,0
020000700,CABA,COMUNA 9,1,1,1,1,0,0,0
020000800,CABA,COMUNA 9,0,0,1,0,0,0,0
020000900,CABA,COMUNA 4,0,0,1,0,0,0,0
020001000,CABA,COMUNA 4,0,0,1,0,0,0,0
020001100,CABA,COMUNA 4,0,0,1,0,0,0,0
020001200,CABA,COMUNA 4,0,0,1,0,0,0,0
020001500,CABA,COMUNA 1,0,0,0,0,0,0,0
020001700,CABA,COMUNA 13,1,1,1,0,0,0,0
020001800,CABA,COMUNA 11,0,0,1,0,0,0,0
020001900,CABA,COMUNA 3,0,0,0,0,0,0,0
020002000,CABA,COMUNA 5,0,0,0,0,0,0,0
020002100,CABA,COMUNA 3,0,0,0,0,0,0,0
020002200,CABA,COMUNA 9,0,0,1,0,0,0,0
020002300,CABA,COMUNA 9,0,0,1,0,0,0,0
020002400,CABA,COMUNA 10,0,0,1,0,0,0,0
020002500,CABA,COMUNA 10,0,0,1,0,0,0,0
020002600,CABA,COMUNA 13,0,0,0,0,0,1,0
020002700,CABA,COMUNA 13,0,1,0,0,0,0,0
020002800,CABA,COMUNA 13,1,1,1,0,0,0,0
020002900,CABA,COMUNA 4,1,1,1,0,0,0,0
020003100,CABA,COMUNA 2,1,1,1,1,0,0,0
020003300,CABA,COMUNA 1,0,1,1,0,0,0,0
020003400,CABA,COMUNA 2,1,1,1,0,0,0,0
020003500,CABA,COMUNA 1,1,1,0,0,0,0,0
020003600,CABA,COMUNA 1,0,0,0,0,0,0,0
020003700,CABA,COMUNA 4,0,1,0,0,0,0,0
020003701,CABA,COMUNA 4,0,1,0,0,0,0,0
020003703,CABA,COMUNA 4,0,1,0,0,0,0,0
020003800,CABA,COMUNA 4,0,0,1,0,0,0,0
020003900,CABA,COMUNA 4,0,0,1,0,0,0,0
020004000,CABA,COMUNA 7,0,0,1,0,0,0,0
020004100,CABA,COMUNA 4,0,0,1,0,0,0,0
020004200,CABA,COMUNA 4,0,0,1,0,0,0,0
020004300,CABA,COMUNA 4,0,0,1,0,0,0,0
020004400,CABA,COMUNA 7,0,1,0,0,0,0,0
020004500,CABA,COMUNA 2,0,0,0,0,0,0,0
020004600,CABA,COMUNA 15,0,0,1,0,0,0,0
020004700,CABA,COMUNA 14,1,1,1,0,0,0,0
020004800,CABA,COMUNA 15,0,0,1,0,0,0,0
020004900,CABA,COMUNA 4,0,1,1,0,0,0,0
020005000,CABA,COMUNA 4,0,0,1,0,0,0,0
020005100,CABA,COMUNA 15,0,0,1,0,0,0,0
020005200,CABA,COMUNA 15,0,0,0,0,0,0,0
020005300,CABA,COMUNA 4,0,0,1,0,0,0,0
020005400,CABA,COMUNA 11,0,1,1,0,0,0,0
020005500,CABA,COMUNA 1,1,1,0,0,0,0,0
020005600,CABA,COMUNA 3,0,0,1,0,0,0,0
020005700,CABA,COMUNA 4,0,0,0,0,0,0,0
020005800,CABA,COMUNA 3,0,0,0,1,0,0,0
020005801,CABA,COMUNA 13,0,0,1,1,0,0,0
020006000,CABA,COMUNA 4,0,0,0,0,0,0,0
020006100,CABA,COMUNA 1,0,0,0,0,0,0,0
020006200,CABA,COMUNA 4,0,0,0,0,0,0,0
020006300,CABA,COMUNA 1,0,0,1,0,0,0,0
020006500,CABA,COMUNA 1,0,1,1,0,0,0,0
020007000,CABA,COMUNA 1,0,0,0,0,0,0,0
020007100,CABA,COMUNA 1,0,0,1,0,0,0,0
020007200,CABA,COMUNA 1,1,1,1,0,0,0,0
020007300,CABA,COMUNA 1,0,0,1,0,0,0,0
020007500,CABA,COMUNA 10,0,1,0,0,0,0,0
020007501,CABA,COMUNA 10,0,1,0,0,0,0,0
020007502,CABA,COMUNA 10,0,1,0,0,0,0,0
020007600,CABA,COMUNA 4,0,1,0,0,0,0,0
020007700,CABA,COMUNA 4,0,0,1,0,0,0,0
020007800,CABA,COMUNA 5,0,0,0,1,0,0,0
020007900,CABA,COMUNA 9,0,0,0,1,0,0,0
020008000,CABA,COMUNA 10,0,0,0,0,0,0,0
