id_departamentos,nivel_inicial,jardin_de_infantes,primario,secundario,Total_Poblacion
02007,5368,6851,17398,14659,221001
02014,3095,3521,8758,9155,160609
02021,4021,5197,13857,12322,193537
02028,5724,8119,22520,18869,227024
02035,3669,4779,13029,11616,192449
02042,4024,5158,13889,12281,201764
02049,4653,6129,17292,15351,213262
02056,6126,8442,23918,20127,203888
02063,3558,5015,14531,13545,167908
02070,3510,4745,13286,12254,171896
02077,3987,5321,14922,13918,201905
02084,5266,6676,17210,14615,235364
02091,5504,6553,17774,16311,262330
02098,5214,5701,14539,13329,247252
02105,4060,5328,14068,12311,195265
06007,560,732,1697,1437,17344
06014,427,523,1401,1170,12847
06021,409,495,1378,1198,12906
06028,18574,25188,67913,58227,583209
06035,9616,13168,37082,32476,366117
06042,714,985,2442,2150,21757
06049,2304,3086,8219,7066,75152
06056,10099,12522,33944,28746,334505
06063,1665,1973,5070,4268,48516
06070,1528,1697,4372,3818,39223
06077,1209,1435,3542,2961,32077
06084,692,916,2277,2015,21185
06091,10963,14843,41462,35467,358328
06098,3377,4327,11779,9722,100685
06105,1240,1590,3857,3206,37194
06112,1476,1884,4807,4203,46227
06119,1113,1475,3997,3510,32350
06126,3492,4628,12587,10846,107976
06134,2650,3575,9538,7497,70542
06140,555,625,1713,1441,15882
06147,752,979,2491,2110,22905
06154,479,628,1557,1266,14007
06161,658,785,1927,1709,17345
06168,344,416,1013,904,9551
06175,902,1112,2851,2561,27406
06182,2021,2684,7353,6424,65823
06189,499,632,1609,1418,15795
06196,815,1075,2791,2166,24110
06203,1308,1573,4418,3537,41713
06210,1578,1940,5344,4811,52409
06218,1294,1873,4976,4223,42191
06224,2173,2733,7181,6479,70554
06231,605,790,1986,1828,18328
06238,1171,1398,3369,2998,31405
06245,2057,2860,7776,6660,63978
06252,9606,12294,31983,25714,256071
06260,12180,15490,41112,34241,337880
06266,1495,1929,4920,3860,40036
06270,7330,9825,25615,21089,198620
06274,19960,24703,64455,52426,488103
06277,406,470,1275,1107,10759
06280,1625,1945,4822,4254,45307
06287,329,429,1137,912,10150
06294,557,655,1535,1404,16231
06301,719,899,2272,1893,20674
06308,99,137,338,304,3157
06315,639,909,2637,2375,22566
06322,392,474,1263,980,11535
